day,n_i,L1,L2,L3,L4
212,2413,0.0811121,-0.913553,0.383436,-0.31467,
213,2415,0.0857581,-0.904118,0.387457,-0.309381,
214,2419,0.121516,-0.888152,0.375614,-0.316814,
215,2425,0.121945,-0.886434,0.376669,-0.315262,
216,2429,0.0831232,-0.908544,0.387001,-0.309134,
217,2443,0.0871952,-0.900543,0.389979,-0.305421,
218,2438,0.0855742,-0.900235,0.392628,-0.303107,
219,2444,0.0860385,-0.901014,0.392143,-0.30307,
220,2441,0.0851637,-0.903928,0.39119,-0.302783,
221,2453,0.122157,-0.887649,0.377663,-0.313207,
222,2457,0.121516,-0.888731,0.37771,-0.312309,
223,2453,0.0768112,-0.920887,0.385597,-0.308866,
224,2464,0.0792444,-0.916959,0.386221,-0.309205,
225,2460,0.0756301,-0.922985,0.384822,-0.311136,
226,2469,0.0775961,-0.920815,0.38438,-0.312358,
227,2466,0.082861,-0.907622,0.391694,-0.302555,
228,2468,0.119067,-0.892335,0.377465,-0.313389,
229,2471,0.121625,-0.888846,0.378829,-0.311988,
230,2480,0.0779757,-0.922676,0.383705,-0.311131,
231,2488,0.0777933,-0.924146,0.382485,-0.31281,
232,2493,0.0811217,-0.917839,0.384179,-0.311384,
233,2494,0.0831211,-0.91392,0.385413,-0.310248,
234,2492,0.0912018,-0.896262,0.392936,-0.301042,
235,2501,0.128591,-0.878093,0.381151,-0.308736,
236,2506,0.128833,-0.878951,0.379432,-0.311364,
237,2507,0.0822873,-0.915535,0.384439,-0.311576,
238,2510,0.0787843,-0.920402,0.384832,-0.310107,
239,2515,0.0780952,-0.921731,0.38459,-0.310159,
240,2526,0.076784,-0.923899,0.384489,-0.309428,
241,2519,0.0683484,-0.939116,0.380572,-0.314279,
242,2517,0.106506,-0.917851,0.369992,-0.319105,
243,2522,0.105477,-0.920974,0.369088,-0.318837,
244,2536,0.0535344,-0.965977,0.377104,-0.3126,
245,2544,0.0300294,-1.01313,0.370989,-0.305118,
246,2556,0.0215973,-1.03082,0.367797,-0.305111,
247,2559,0.0200541,-1.03365,0.366888,-0.306422,
248,2561,0.0294534,-1.01375,0.3725,-0.304142,
249,2568,0.0713483,-0.985148,0.360125,-0.31383,
250,2569,0.0726978,-0.98248,0.360664,-0.313841,
251,2569,0.0207705,-1.03459,0.364196,-0.310865,
252,2572,0.0189457,-1.03695,0.365032,-0.30902,
253,2570,0.0184439,-1.03688,0.365246,-0.309003,
254,2571,0.0191362,-1.03641,0.364713,-0.309762,
255,2571,0.0292643,-1.01352,0.372314,-0.304756,
256,2575,0.0716622,-0.983011,0.361183,-0.312999,
257,2578,0.071568,-0.983596,0.361168,-0.312332,
258,2578,0.0176568,-1.03976,0.364461,-0.308798,
259,2580,0.0146623,-1.04267,0.365984,-0.305903,
260,2581,0.0138984,-1.04329,0.366485,-0.305414,
261,2584,0.0135994,-1.04381,0.366247,-0.305407,
262,2596,0.0236276,-1.0205,0.373667,-0.300669,
263,2601,0.0654174,-0.992565,0.360418,-0.312851,
264,2603,0.0653424,-0.992661,0.360437,-0.312972,
265,2607,0.0147398,-1.04194,0.366083,-0.305779,
266,2607,0.0114975,-1.04743,0.365751,-0.305384,
267,2609,0.0111889,-1.04763,0.365909,-0.305509,
268,2611,0.0112251,-1.04799,0.365903,-0.30559,
269,2613,0.0121517,-1.04787,0.364956,-0.306353,
270,2619,0.0558197,-1.01365,0.355638,-0.312007,
271,2622,0.0407103,-1.03573,0.360252,-0.297892,
272,2643,-0.0203332,-1.0992,0.370622,-0.280314,
273,2647,-0.0210742,-1.09945,0.372311,-0.277339,
274,2647,-0.0218328,-1.10071,0.371826,-0.27833,
275,2647,-0.0223477,-1.1024,0.371093,-0.279098,
276,2649,-0.0107492,-1.07565,0.3778,-0.279011,
277,2653,0.033818,-1.04058,0.365016,-0.289998,
278,2653,0.03631,-1.03603,0.365807,-0.289445,
279,2652,-0.018344,-1.09309,0.373547,-0.278198,
280,2650,-0.021452,-1.09903,0.372183,-0.279452,
281,2650,-0.0221195,-1.09913,0.372639,-0.279067,
282,2653,-0.0218591,-1.09927,0.372252,-0.279358,
283,2653,-0.0145387,-1.08241,0.376826,-0.278445,
284,2658,0.0306269,-1.04636,0.363614,-0.290484,
285,2658,0.030875,-1.0461,0.36353,-0.290693,
286,2657,-0.0234926,-1.10412,0.369887,-0.28013,
287,2658,-0.0237018,-1.10176,0.372123,-0.278317,
288,2660,-0.0239262,-1.1007,0.373166,-0.277684,
289,2660,-0.0234738,-1.1003,0.372776,-0.278186,
290,2663,-0.016312,-1.0849,0.375698,-0.279422,
291,2667,0.028016,-1.04928,0.363546,-0.289904,
292,2668,0.0285681,-1.04874,0.363272,-0.290414,
293,2667,-0.024387,-1.10464,0.37075,-0.278241,
294,2670,-0.0251221,-1.10571,0.37132,-0.277619,
295,2668,-0.024845,-1.1046,0.371557,-0.278188,
296,2670,-0.024913,-1.10479,0.371427,-0.278448,
297,2672,-0.019666,-1.09357,0.373495,-0.279735,
298,2677,0.0256815,-1.05577,0.361821,-0.289623,
299,2681,0.0251057,-1.05706,0.361821,-0.289278,
300,2682,-0.0290974,-1.1133,0.372244,-0.272042,
301,2683,-0.0308481,-1.11627,0.372805,-0.27088,
302,2687,-0.0325606,-1.11815,0.373823,-0.269156,
303,2690,-0.0322031,-1.11768,0.373724,-0.269724,
304,2694,-0.0257612,-1.10399,0.374088,-0.276123,
305,2697,0.0194785,-1.06439,0.362985,-0.286302,
306,2698,0.0197052,-1.06432,0.36278,-0.286622,
307,2710,-0.0338725,-1.11758,0.375914,-0.26631,
308,2710,-0.0350094,-1.1182,0.376294,-0.266191,
309,2711,-0.0353225,-1.11855,0.375844,-0.266563,
310,2712,-0.0355259,-1.11876,0.375334,-0.266467,
311,2712,-0.0298777,-1.10601,0.376692,-0.271074,
312,2718,0.0154077,-1.06736,0.363318,-0.284456,
313,2722,0.0159742,-1.06664,0.362524,-0.286005,
314,2722,-0.0330716,-1.11331,0.375777,-0.268268,
315,2724,-0.0331135,-1.11229,0.376426,-0.268214,
316,2725,-0.031372,-1.1087,0.37632,-0.269526,
317,2727,-0.0309393,-1.10748,0.377195,-0.268043,
318,2727,-0.0247773,-1.09384,0.37862,-0.27305,
319,2732,0.020919,-1.05591,0.364188,-0.287591,
320,2733,0.0215216,-1.05479,0.364255,-0.288219,
321,2734,-0.0261818,-1.09803,0.378614,-0.268462,
322,2737,-0.0271565,-1.09899,0.378675,-0.268531,
323,2744,-0.026394,-1.09649,0.380309,-0.267153,
324,2746,-0.021488,-1.08617,0.381088,-0.27012,
325,2746,-0.0137002,-1.07032,0.381554,-0.277351,
326,2749,0.0274111,-1.04288,0.366683,-0.289429,
327,2749,0.0261427,-1.04535,0.366047,-0.288997,
328,2752,-0.0216853,-1.09397,0.375522,-0.27317,
329,2753,-0.0324919,-1.11063,0.376847,-0.266409,
330,2758,-0.0373922,-1.12112,0.378169,-0.260389,
331,2761,-0.0375191,-1.12197,0.377602,-0.259974,
332,2767,-0.0274813,-1.10069,0.377681,-0.271734,
333,2771,0.0202535,-1.06224,0.360235,-0.290399,
334,2773,0.0164956,-1.06605,0.363243,-0.286107,
335,2782,-0.0329985,-1.11956,0.370454,-0.271418,
336,2784,-0.0372007,-1.12582,0.371646,-0.267829,
337,2788,-0.0395311,-1.12918,0.371846,-0.267508,
338,2790,-0.0385047,-1.12726,0.372466,-0.266943,
339,2792,-0.0205406,-1.08631,0.37899,-0.275229,
340,2793,0.0262225,-1.04828,0.364563,-0.289939,
341,2795,0.0233251,-1.05089,0.366121,-0.287418,
342,2795,-0.0296582,-1.11247,0.370421,-0.275264,
343,2798,-0.0347896,-1.11997,0.370488,-0.274457,
344,2799,-0.0341632,-1.11729,0.372775,-0.273009,
345,2803,-0.0335992,-1.11696,0.372603,-0.273209,
346,2809,-0.0249585,-1.1011,0.372416,-0.280259,
347,2813,0.0206915,-1.06247,0.359439,-0.293303,
348,2815,0.0209939,-1.06056,0.3605,-0.292623,
349,2817,-0.0218267,-1.09691,0.373264,-0.276151,
350,2818,-0.0228813,-1.09753,0.374,-0.275303,
351,2818,-0.0228967,-1.09689,0.37501,-0.273652,
352,2819,-0.0234593,-1.09811,0.374362,-0.274559,
353,2820,-0.0087981,-1.06604,0.379382,-0.280518,
354,2822,0.0360142,-1.03074,0.36516,-0.295552,
355,2822,0.035467,-1.03123,0.365891,-0.294326,
356,2829,0.000217799,-1.04788,0.382105,-0.282527,
357,2831,-0.000355664,-1.04724,0.384331,-0.279204,
358,2831,-0.00536947,-1.05788,0.382313,-0.279409,
359,2833,-0.00556499,-1.05891,0.381874,-0.279635,
360,2835,0.000729597,-1.0471,0.381949,-0.284538,
361,2840,0.0492481,-1.00453,0.37047,-0.297057,
362,2859,0.0562057,-0.99272,0.373022,-0.295402,
363,2922,0.00132016,-1.05156,0.380458,-0.280609,
364,2776,-0.0171959,-1.07725,0.3811,-0.278701,
